dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.663825,3.418881,0.000198,0.019794,0.989702,49.485121,0.001695
0.020000,1.663933,3.418881,0.000307,0.005438,-0.717806,-85.375402,0.001423
0.020000,1.664151,3.418882,0.000524,0.010878,0.272019,49.491218,0.000879
0.020000,1.664477,3.418882,0.000851,0.016324,0.272262,0.012156,0.000063
0.020000,1.667897,3.418880,0.004271,0.170989,7.733276,373.050721,6.282159
0.020000,1.672401,3.418872,0.008775,0.225207,2.710908,-251.118424,6.280796
0.020000,1.677807,3.418855,0.014181,0.270307,2.254973,-22.796724,6.279156
0.020000,1.684116,3.418824,0.020490,0.315450,2.257168,0.109754,6.277240
0.020000,1.691329,3.418773,0.027702,0.360617,2.258367,0.059943,6.275044
0.020000,1.699444,3.418697,0.035818,0.405790,2.258612,0.012228,6.272568
0.020000,1.708466,3.418588,0.044841,0.451133,2.267167,0.427766,6.269807
0.020000,1.718393,3.418441,0.054769,0.496397,2.263205,-0.198084,6.266760
0.020000,1.729226,3.418245,0.065604,0.541764,2.268366,0.258040,6.263424
0.020000,1.740968,3.417991,0.077348,0.587214,2.272473,0.205357,6.259796
0.020000,1.753618,3.417670,0.090003,0.632724,2.275500,0.151349,6.255872
0.020000,1.767178,3.417271,0.103568,0.678273,2.277459,0.097933,6.251649
0.020000,1.781648,3.416782,0.118047,0.723923,2.282502,0.252156,6.247123
0.020000,1.797029,3.416190,0.133439,0.769624,2.285033,0.126561,6.242291
0.020000,1.813323,3.415481,0.149748,0.815467,2.292140,0.355346,6.237148
0.020000,1.830529,3.414642,0.166975,0.861334,2.293385,0.062242,6.231689
0.020000,1.848648,3.413655,0.185121,0.907291,2.297842,0.222848,6.225912
0.020000,1.867682,3.412506,0.204189,0.953404,2.305658,0.390806,6.219811
0.020000,1.887627,3.411176,0.224179,0.999496,2.304609,-0.052459,6.213382
0.020000,1.908487,3.409646,0.245095,1.045785,2.314425,0.490791,6.206619
0.020000,1.930259,3.407898,0.266936,1.092092,2.315366,0.047081,6.199521
0.020000,1.952942,3.405911,0.289706,1.138505,2.320618,0.262583,6.192080
0.020000,1.976535,3.403663,0.313406,1.184992,2.324375,0.187830,6.184294
0.020000,2.001037,3.401132,0.338038,1.231602,2.330478,0.305142,6.176158
0.020000,2.026443,3.398293,0.363603,1.278238,2.331795,0.065894,6.167669
0.020000,2.052753,3.395122,0.390103,1.325000,2.338131,0.316786,6.158822
0.020000,2.079961,3.391594,0.417539,1.371781,2.339043,0.045595,6.149615
0.020000,2.108062,3.387681,0.445911,1.418619,2.341881,0.141905,6.140045
0.020000,2.137052,3.383356,0.475222,1.465536,2.345866,0.199264,6.130109
0.020000,2.166923,3.378590,0.505471,1.512447,2.345560,-0.015311,6.119806
0.020000,2.197668,3.373353,0.536659,1.559405,2.347895,0.116718,6.109136
0.020000,2.229278,3.367615,0.568786,1.606337,2.346572,-0.066107,6.098098
0.020000,2.261744,3.361345,0.601851,1.653254,2.345873,-0.034964,6.086693
0.020000,2.295052,3.354511,0.635853,1.700128,2.343700,-0.108635,6.074923
0.020000,2.329192,3.347079,0.670793,1.746973,2.342270,-0.071541,6.062792
0.020000,2.364149,3.339019,0.706666,1.793688,2.335712,-0.327907,6.050304
0.020000,2.399906,3.330295,0.743472,1.840295,2.330350,-0.268053,6.037465
0.020000,2.436446,3.320875,0.781207,1.886755,2.322994,-0.367843,6.024282
0.020000,2.473750,3.310724,0.819868,1.933015,2.313001,-0.499637,6.010764
0.020000,2.511798,3.299811,0.859450,1.979112,2.304891,-0.405488,5.996923
0.020000,2.550566,3.288101,0.899948,2.024903,2.289539,-0.767598,5.982771
0.020000,2.590030,3.275562,0.941356,2.070419,2.275802,-0.686870,5.968322
0.020000,2.630165,3.262162,0.983668,2.115602,2.259125,-0.833850,5.953593
0.020000,2.670941,3.247871,1.026877,2.160418,2.240814,-0.915542,5.938603
0.020000,2.712331,3.232659,1.070973,2.204822,2.220201,-1.030654,5.923373
