dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.664503,3.018882,0.000198,0.019794,0.989702,49.485121,0.001695
0.020000,1.664503,3.018882,0.000990,0.059382,1.979405,49.485121,0.001423
0.020000,1.664503,3.018882,0.002573,0.098970,1.979405,-0.000000,0.000879
0.020000,1.664503,3.018882,0.004949,0.138558,1.979405,0.000000,0.000063
0.020000,1.667487,3.018880,0.008116,0.178146,1.979405,-0.000000,6.282159
0.020000,1.671445,3.018874,0.012074,0.217735,1.979405,0.000000,6.280796
0.020000,1.676196,3.018858,0.016825,0.257323,1.979405,-0.000000,6.279156
0.020000,1.681738,3.018831,0.022367,0.296911,1.979405,0.000000,6.277240
0.020000,1.688072,3.018786,0.028701,0.336499,1.979405,0.000000,6.275044
0.020000,1.695197,3.018719,0.035827,0.376087,1.979405,-0.000000,6.272568
0.020000,1.703115,3.018624,0.043745,0.415675,1.979405,0.000000,6.269807
0.020000,1.711823,3.018494,0.052454,0.455263,1.979405,0.000000,6.266760
0.020000,1.721322,3.018323,0.061955,0.494851,1.979405,0.000000,6.263424
0.020000,1.731613,3.018101,0.072248,0.534439,1.979405,0.000000,6.259796
0.020000,1.742694,3.017820,0.083333,0.574027,1.979405,0.000000,6.255872
0.020000,1.754566,3.017470,0.095209,0.613616,1.979405,-0.000000,6.251649
0.020000,1.767226,3.017042,0.107878,0.653204,1.979405,0.000000,6.247123
0.020000,1.780676,3.016524,0.121338,0.692792,1.979405,0.000000,6.242291
0.020000,1.794915,3.015905,0.135589,0.732380,1.979405,0.000000,6.237148
0.020000,1.809940,3.015172,0.150633,0.771968,1.979405,-0.000000,6.231689
0.020000,1.825752,3.014311,0.166468,0.811556,1.979405,0.000000,6.225912
0.020000,1.842349,3.013309,0.183095,0.851144,1.979405,-0.000000,6.219811
0.020000,1.859729,3.012150,0.200514,0.890732,1.979405,0.000000,6.213382
0.020000,1.877891,3.010818,0.218724,0.930320,1.979405,0.000000,6.206619
0.020000,1.896832,3.009298,0.237727,0.969908,1.979405,0.000000,6.199521
0.020000,1.916550,3.007570,0.257521,1.009496,1.979405,-0.000000,6.192080
0.020000,1.937043,3.005618,0.278106,1.049085,1.979405,0.000000,6.184294
0.020000,1.958308,3.003421,0.299484,1.088673,1.979405,0.000000,6.176158
0.020000,1.980339,3.000959,0.321653,1.128261,1.979405,0.000000,6.167669
0.020000,2.003136,2.998212,0.344614,1.167849,1.979405,0.000000,6.158822
0.020000,2.026691,2.995157,0.368367,1.207437,1.979405,0.000000,6.149615
0.020000,2.051001,2.991772,0.392912,1.247025,1.979405,0.000000,6.140045
0.020000,2.076060,2.988033,0.418248,1.286613,1.979405,0.000000,6.130109
0.020000,2.101862,2.983917,0.444376,1.326201,1.979405,0.000000,6.119806
0.020000,2.128399,2.979396,0.471296,1.365789,1.979405,0.000000,6.109136
0.020000,2.155665,2.974447,0.499008,1.405377,1.979405,-0.000000,6.098098
0.020000,2.183651,2.969042,0.527511,1.444966,1.979405,0.000000,6.086693
0.020000,2.212348,2.963154,0.556807,1.484554,1.979405,-0.000000,6.074923
0.020000,2.241747,2.956755,0.586894,1.524142,1.979405,0.000000,6.062792
0.020000,2.271836,2.949816,0.617772,1.563730,1.979405,-0.000000,6.050304
0.020000,2.302604,2.942310,0.649443,1.603318,1.979405,0.000000,6.037465
0.020000,2.334038,2.934206,0.681905,1.642906,1.979405,0.000000,6.024282
0.020000,2.366125,2.925475,0.715159,1.682494,1.979405,-0.000000,6.010764
0.020000,2.398851,2.916088,0.749205,1.722082,1.979405,0.000000,5.996923
0.020000,2.432200,2.906015,0.784042,1.761670,1.979405,-0.000000,5.982771
0.020000,2.466156,2.895226,0.819672,1.801258,1.979405,0.000000,5.968322
0.020000,2.500702,2.883692,0.856093,1.840847,1.979405,-0.000000,5.953593
0.020000,2.535820,2.871385,0.893305,1.880435,1.979405,0.000000,5.938603
0.020000,2.571491,2.858274,0.931310,1.920023,1.979405,-0.000000,5.923373
0.020000,2.607696,2.844334,0.970106,1.959611,1.979405,0.000000,5.907923
0.020000,2.644414,2.829536,1.009694,1.999199,1.979405,-0.000000,5.892280
0.020000,2.681625,2.813856,1.050074,2.038787,1.979405,0.000000,5.876470
0.020000,2.719306,2.797267,1.091246,2.078375,1.979405,-0.000000,5.860521
0.020000,2.757436,2.779747,1.133209,2.117963,1.979405,0.000000,5.844463
0.020000,2.795994,2.761273,1.175964,2.157551,1.979405,-0.000000,5.828328
0.020000,2.834956,2.741825,1.219511,2.197139,1.979405,0.000000,5.812147
0.020000,2.874301,2.721383,1.263850,2.236727,1.979405,-0.000000,5.795957
0.020000,2.914007,2.699932,1.308980,2.276316,1.979405,0.000000,5.779790
0.020000,2.954051,2.677455,1.354903,2.315904,1.979405,0.000000,5.763684
0.020000,2.994414,2.653939,1.401617,2.355492,1.979405,-0.000000,5.747673
0.020000,3.035074,2.629373,1.449122,2.395080,1.979405,0.000000,5.731795
0.020000,3.076013,2.603747,1.497420,2.434668,1.979405,-0.000000,5.716086
0.020000,3.117210,2.577056,1.546509,2.474256,1.979405,0.000000,5.700581
0.020000,3.158650,2.549293,1.596390,2.513844,1.979405,-0.000000,5.685317
0.020000,3.200317,2.520455,1.647063,2.553432,1.979405,0.000000,5.670327
0.020000,3.242195,2.490543,1.698527,2.593020,1.979405,0.000000,5.655646
0.020000,3.284272,2.459556,1.750784,2.632608,1.979405,0.000000,5.641306
0.020000,3.326537,2.427498,1.803832,2.672197,1.979405,-0.000000,5.627340
0.020000,3.368981,2.394374,1.857671,2.711785,1.979405,0.000000,5.613778
0.020000,3.411597,2.360192,1.912303,2.751373,1.979405,0.000000,5.600649
0.020000,3.454380,2.324959,1.967726,2.790961,1.979405,0.000000,5.587980
0.020000,3.497326,2.288686,2.023941,2.830549,1.979405,-0.000000,5.575799
0.020000,3.540436,2.251386,2.080948,2.870137,1.979405,0.000000,5.564131
0.020000,3.583710,2.213072,2.138747,2.909725,1.979405,0.000000,5.552999
0.020000,3.626993,2.173905,2.197121,2.927632,0.895330,-54.203730,5.542466
0.020000,3.669848,2.134326,2.255456,2.905950,-1.084075,-98.970242,5.532644
0.020000,3.711881,2.094764,2.313179,2.866362,-1.979405,-44.766512,5.523611
0.020000,3.753000,2.055389,2.370111,2.826774,-1.979405,0.000000,5.515364
0.020000,3.793239,2.016243,2.426250,2.787186,-1.979405,0.000000,5.507867
0.020000,3.832635,1.977367,2.481598,2.747598,-1.979405,0.000000,5.501088
0.020000,3.871220,1.938798,2.536154,2.708010,-1.979405,-0.000000,5.494994
0.020000,3.909025,1.900570,2.589919,2.668422,-1.979405,0.000000,5.489553
0.020000,3.946080,1.862714,2.642891,2.628834,-1.979405,0.000000,5.484735
0.020000,3.982412,1.825260,2.695072,2.589245,-1.979405,0.000000,5.480512
0.020000,4.018047,1.788234,2.746461,2.549657,-1.979405,-0.000000,5.476855
0.020000,4.053010,1.751659,2.797058,2.510069,-1.979405,0.000000,5.473738
0.020000,4.087322,1.715559,2.846864,2.470481,-1.979405,0.000000,5.471136
0.020000,4.121005,1.679952,2.895878,2.430893,-1.979405,0.000000,5.469024
0.020000,4.154078,1.644859,2.944099,2.391305,-1.979405,-0.000000,5.467378
0.020000,4.186559,1.610296,2.991530,2.351717,-1.979405,0.000000,5.466175
0.020000,4.218465,1.576279,3.038168,2.312129,-1.979405,-0.000000,5.465394
0.020000,4.249809,1.542820,3.084015,2.272541,-1.979405,0.000000,5.465015
0.020000,4.280605,1.509934,3.129070,2.232953,-1.979405,-0.000000,5.465015
0.020000,4.310867,1.477631,3.173333,2.193364,-1.979405,0.000000,5.465377
0.020000,4.340604,1.445922,3.216804,2.153776,-1.979405,-0.000000,5.466082
0.020000,4.369826,1.414815,3.259484,2.114188,-1.979405,0.000000,5.467110
0.020000,4.398542,1.384320,3.301372,2.074600,-1.979405,0.000000,5.468444
0.020000,4.426760,1.354443,3.342468,2.035012,-1.979405,-0.000000,5.470066
0.020000,4.454486,1.325190,3.382772,1.995424,-1.979405,0.000000,5.471961
0.020000,4.481725,1.296566,3.422285,1.955836,-1.979405,0.000000,5.474110
0.020000,4.508481,1.268577,3.461006,1.916248,-1.979405,-0.000000,5.476499
0.020000,4.534759,1.241226,3.498935,1.876660,-1.979405,-0.000000,5.479112
