dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.665181,2.618882,0.000198,0.019794,0.989702,49.485121,0.001695
0.020000,1.665072,2.618882,0.000307,0.005438,-0.717806,-85.375402,0.001423
0.020000,1.664854,2.618882,0.000524,0.010878,0.272019,49.491218,0.000879
0.020000,1.664528,2.618882,0.000851,0.016324,0.272262,0.012156,0.000063
0.020000,1.667076,2.618881,0.003399,0.127413,5.554451,264.109458,6.282159
0.020000,1.670490,2.618875,0.006812,0.170669,2.162812,-169.581957,6.280796
0.020000,1.674584,2.618862,0.010907,0.204742,1.703657,-22.957722,6.279156
0.020000,1.679360,2.618838,0.015683,0.238792,1.702484,-0.058652,6.277240
0.020000,1.684816,2.618799,0.021139,0.272794,1.700099,-0.119283,6.275044
0.020000,1.690950,2.618742,0.027273,0.306724,1.696543,-0.177788,6.272568
0.020000,1.697764,2.618660,0.034087,0.340701,1.698824,0.114074,6.269807
0.020000,1.705253,2.618548,0.041578,0.374525,1.691218,-0.380316,6.266760
0.020000,1.713419,2.618401,0.049744,0.408327,1.690086,-0.056612,6.263424
0.020000,1.722258,2.618210,0.058586,0.442082,1.687751,-0.116742,6.259796
0.020000,1.731770,2.617969,0.068101,0.475766,1.684216,-0.176754,6.255872
0.020000,1.741953,2.617669,0.078289,0.509357,1.679516,-0.234994,6.251649
0.020000,1.752805,2.617302,0.089146,0.542893,1.676794,-0.136080,6.247123
0.020000,1.764323,2.616859,0.100673,0.576330,1.671876,-0.245919,6.242291
0.020000,1.776506,2.616329,0.112868,0.609732,1.670103,-0.088637,6.237148
0.020000,1.789351,2.615702,0.125728,0.643006,1.663701,-0.320097,6.231689
0.020000,1.802855,2.614967,0.139252,0.676196,1.659506,-0.209768,6.225912
0.020000,1.817016,2.614112,0.153439,0.709349,1.657656,-0.092503,6.219811
0.020000,1.831830,2.613124,0.168285,0.742332,1.649113,-0.427149,6.213382
0.020000,1.847294,2.611990,0.183791,0.775304,1.648612,-0.025028,6.206619
0.020000,1.863405,2.610697,0.199954,0.808135,1.641557,-0.352764,6.199521
0.020000,1.880159,2.609229,0.216772,0.840891,1.637815,-0.187121,6.192080
0.020000,1.897551,2.607572,0.234243,0.873555,1.633167,-0.232413,6.184294
0.020000,1.915578,2.605709,0.252366,0.906166,1.630542,-0.131211,6.176158
0.020000,1.934236,2.603625,0.271140,0.938662,1.624799,-0.287150,6.167669
0.020000,1.953519,2.601301,0.290562,0.971127,1.623265,-0.076717,6.158822
0.020000,1.973422,2.598720,0.310632,1.003495,1.618399,-0.243295,6.149615
0.020000,1.993940,2.595863,0.331348,1.035810,1.615738,-0.133068,6.140045
0.020000,2.015068,2.592711,0.352710,1.068107,1.614848,-0.044502,6.130109
0.020000,2.036800,2.589243,0.374717,1.100345,1.611926,-0.146072,6.119806
0.020000,2.059131,2.585440,0.397369,1.132589,1.612199,0.013626,6.109136
0.020000,2.082052,2.581279,0.420665,1.164814,1.611264,-0.046761,6.098098
0.020000,2.105559,2.576739,0.444607,1.197063,1.612422,0.057938,6.086693
0.020000,2.129644,2.571797,0.469194,1.229350,1.614348,0.096281,6.074923
0.020000,2.154302,2.566430,0.494428,1.261727,1.618842,0.224715,6.062792
0.020000,2.179523,2.560614,0.520311,1.294164,1.621869,0.151316,6.050304
0.020000,2.205301,2.554325,0.546846,1.326728,1.628199,0.316508,6.037465
0.020000,2.231629,2.547538,0.574035,1.359442,1.635722,0.376154,6.024282
0.020000,2.258499,2.540226,0.601881,1.392326,1.644166,0.422198,6.010764
0.020000,2.285903,2.532366,0.630391,1.425465,1.656959,0.639686,5.996923
0.020000,2.313833,2.523929,0.659567,1.458819,1.667686,0.536331,5.982771
0.020000,2.342281,2.514891,0.689416,1.492476,1.682856,0.758498,5.968322
0.020000,2.371239,2.505222,0.719946,1.526462,1.699291,0.821759,5.953593
0.020000,2.400699,2.494898,0.751162,1.560822,1.718000,0.935461,5.938603
0.020000,2.430652,2.483889,0.783074,1.595592,1.738530,1.026474,5.923373
0.020000,2.461090,2.472169,0.815690,1.630818,1.761316,1.139297,5.907923
0.020000,2.492004,2.459710,0.849021,1.666527,1.785421,1.205261,5.892280
0.020000,2.523387,2.446485,0.883076,1.702772,1.812280,1.342964,5.876470
0.020000,2.555229,2.432467,0.917868,1.739581,1.840441,1.408033,5.860521
0.020000,2.587523,2.417629,0.953408,1.776988,1.870336,1.494727,5.844463
0.020000,2.620260,2.401943,0.989708,1.815025,1.901830,1.574735,5.828328
0.020000,2.653432,2.385386,1.026783,1.853720,1.934780,1.647460,5.812147
0.020000,2.687029,2.367930,1.064644,1.893093,1.968650,1.693520,5.795957
0.020000,2.721046,2.349552,1.103308,1.933173,2.003973,1.766163,5.779790
0.020000,2.755472,2.330228,1.142787,1.973957,2.039228,1.762748,5.763684
0.020000,2.790302,2.309936,1.183096,2.015468,2.075526,1.814874,5.747673
0.020000,2.825526,2.288654,1.224251,2.057704,2.111822,1.814815,5.731795
0.020000,2.861138,2.266362,1.266264,2.100665,2.148018,1.809805,5.716086
0.020000,2.897130,2.243043,1.309151,2.144345,2.184028,1.800477,5.700581
0.020000,2.933498,2.218678,1.352925,2.188735,2.219515,1.774382,5.685317
0.020000,2.970233,2.193252,1.397602,2.233821,2.254281,1.738271,5.670327
0.020000,3.007333,2.166753,1.443194,2.279585,2.288189,1.695401,5.655646
0.020000,3.044791,2.139167,1.489714,2.326004,2.320981,1.639608,5.641306
0.020000,3.082606,2.110485,1.537175,2.373060,2.352777,1.589790,5.627340
0.020000,3.120773,2.080699,1.585589,2.420724,2.383224,1.522353,5.613778
0.020000,3.159292,2.049802,1.634969,2.468974,2.412471,1.462363,5.600649
0.020000,3.198163,2.017790,1.685324,2.517779,2.440278,1.390366,5.587980
0.020000,3.237387,1.984661,1.736667,2.567116,2.466849,1.328565,5.575799
0.020000,3.276966,1.950415,1.789006,2.616962,2.492263,1.270694,5.564131
0.020000,3.316907,1.915052,1.842352,2.667292,2.516543,1.213983,5.552999
0.020000,3.357066,1.878712,1.896512,2.707994,2.035089,-24.072726,5.542466
0.020000,3.397034,1.841798,1.950918,2.720341,0.617351,-70.886879,5.532644
0.020000,3.436436,1.804712,2.005028,2.705495,-0.742313,-67.983215,5.523611
0.020000,3.475172,1.767618,2.058661,2.681616,-1.193957,-22.582201,5.515364
0.020000,3.513262,1.730563,2.111802,2.657043,-1.228619,-1.733103,5.507867
0.020000,3.550728,1.693592,2.164438,2.631800,-1.262155,-1.676762,5.501088
0.020000,3.587588,1.656746,2.216556,2.605911,-1.294488,-1.616665,5.494994
